iter	CrossEntropy
0	0.6706496956
1	0.6491023362
2	0.6284633436
3	0.6260329663
4	0.6237312844
5	0.6042474143
6	0.5902991391
7	0.5721912868
8	0.5548351006
9	0.5381963314
10	0.5222421485
11	0.5069411129
12	0.4922631472
13	0.4781795014
14	0.4646627156
15	0.4516865806
16	0.4392260969
17	0.4382450974
18	0.4263364989
19	0.4148934051
20	0.4038943954
21	0.3933190765
22	0.3857408993
23	0.378379638
24	0.3687555872
25	0.3594931992
26	0.3505760581
27	0.3441965684
28	0.3358352395
29	0.3277788787
30	0.3220187536
31	0.314453408
32	0.3090488702
33	0.3037880209
34	0.2968560289
35	0.2901664817
36	0.2837088025
37	0.277472936
38	0.271449322
39	0.2671488055
40	0.2614672888
41	0.2559745938
42	0.2506627657
43	0.2455242363
44	0.2405518035
45	0.2357386122
46	0.2310781359
47	0.2265641604
48	0.2221907664
49	0.2179523149
50	0.2138434324
51	0.2098589971
52	0.2070046824
53	0.2032219224
54	0.1995509928
55	0.1959875882
56	0.1925276001
57	0.1891671067
58	0.1859023633
59	0.1835605779
60	0.1804514394
61	0.1782227616
62	0.1752595993
63	0.1731369557
64	0.1703108464
65	0.1675610835
66	0.1648849366
67	0.1622797932
68	0.1597431528
69	0.1579242955
70	0.1554992731
71	0.1531365481
72	0.1508339857
73	0.1491827057
74	0.1469782892
75	0.1448287279
76	0.1432875287
77	0.1412275148
78	0.1397514317
79	0.1377760152
80	0.1363614084
81	0.1349722818
82	0.1336080075
83	0.1317754857
84	0.1304665581
85	0.1291805558
86	0.1274490894
87	0.1257573931
88	0.1241042281
89	0.1224884033
90	0.1213346106
91	0.1197798029
92	0.118670186
93	0.1171732968
94	0.115709055
95	0.1146642151
96	0.1136362799
97	0.1126248694
98	0.111629614
99	0.1102811662
