iter	Passed	Remaining
0	3	385
1	7	360
2	12	417
3	16	396
4	19	379
5	25	391
6	30	399
7	35	403
8	41	417
9	45	408
10	50	408
11	55	408
12	60	407
13	66	406
14	71	402
15	76	403
16	82	400
17	85	389
18	90	386
19	96	385
20	101	380
21	106	376
22	111	371
23	116	369
24	121	364
25	127	361
26	132	357
27	137	353
28	142	348
29	147	343
30	152	339
31	159	338
32	164	333
33	172	334
34	178	331
35	183	326
36	189	321
37	195	318
38	200	313
39	205	308
40	210	303
41	216	298
42	221	293
43	226	287
44	231	282
45	237	278
46	243	274
47	248	268
48	253	264
49	259	259
50	263	253
51	269	248
52	275	243
53	279	238
54	284	232
55	290	227
56	295	222
57	300	217
58	304	211
59	309	206
60	316	202
61	321	197
62	326	191
63	331	186
64	336	181
65	342	176
66	346	170
67	352	166
68	358	160
69	363	155
70	369	150
71	374	145
72	378	140
73	383	134
74	389	129
75	395	124
76	400	119
77	406	114
78	411	109
79	416	104
80	420	98
81	425	93
82	431	88
83	437	83
84	441	77
85	446	72
86	451	67
87	456	62
88	461	57
89	466	51
90	472	46
91	478	41
92	483	36
93	488	31
94	494	26
95	499	20
96	503	15
97	509	10
98	515	5
99	520	0
