iter	RMSE
0	8.98199683
1	8.778929628
2	8.588886336
3	8.404713444
4	8.230087829
5	8.056839784
6	7.899964448
7	7.75242361
8	7.610453442
9	7.475546699
10	7.351890148
11	7.232190036
12	7.119442732
13	7.011714022
14	6.904983466
15	6.804665517
16	6.716788177
17	6.62462834
18	6.535973389
19	6.457017846
20	6.374997177
21	6.303824796
22	6.229294748
23	6.161827025
24	6.105710446
25	6.045791027
26	5.989863365
27	5.93420378
28	5.882903931
29	5.833820581
30	5.787404017
31	5.74294778
32	5.703800736
33	5.665935378
34	5.628718674
35	5.598414246
36	5.569134319
37	5.543084155
38	5.514386992
39	5.489820787
40	5.462790964
41	5.439676905
42	5.416770978
43	5.39642797
44	5.376224163
45	5.359693148
46	5.340442852
47	5.325543175
48	5.31169427
49	5.297683922
50	5.284204193
51	5.269239923
52	5.255680175
53	5.243743807
54	5.232560466
55	5.221577894
56	5.21111021
57	5.201762101
58	5.193493356
59	5.183928779
60	5.174299593
61	5.168007803
62	5.160435856
63	5.153048933
64	5.146330848
65	5.140055367
66	5.135141904
67	5.128404857
68	5.123155786
69	5.117757642
70	5.114159996
71	5.109650629
72	5.105298833
73	5.100882156
74	5.096839443
75	5.092757136
76	5.08950121
77	5.085412605
78	5.081499832
79	5.078285849
80	5.075967457
81	5.073737047
82	5.071096273
83	5.068571906
84	5.06636769
85	5.064550763
86	5.062610593
87	5.060869873
88	5.05749418
89	5.055612499
90	5.053382555
91	5.052220011
92	5.048890237
93	5.045400865
94	5.044218241
95	5.042945735
96	5.041580469
97	5.036605538
98	5.034757045
99	5.031841191
100	5.029427161
101	5.027418511
102	5.025998937
103	5.023346668
104	5.022375577
105	5.021341971
106	5.020080514
107	5.01919721
108	5.016545745
109	5.01573619
110	5.01356991
111	5.012554787
112	5.01061981
113	5.008350546
114	5.006905511
115	5.005878472
116	5.005142066
117	5.004325409
118	5.00344073
119	5.001980959
120	4.999354601
121	4.998481496
122	4.997397517
123	4.996782347
124	4.995478898
125	4.994754077
126	4.993941389
127	4.992693787
128	4.991978418
129	4.991397515
130	4.989376469
131	4.989017699
132	4.98763221
133	4.986285699
134	4.985581211
135	4.985007392
136	4.983666717
137	4.98278889
138	4.9817416
139	4.981186474
140	4.980128366
141	4.978665296
142	4.977773555
143	4.976850391
144	4.976066414
145	4.975490826
146	4.974669962
147	4.973138322
148	4.972979331
149	4.972105181
150	4.971621197
151	4.971349876
152	4.968704015
153	4.966651427
154	4.964958232
155	4.964113504
156	4.963540286
157	4.961702443
158	4.961202586
159	4.960228746
160	4.959038819
161	4.957643148
162	4.957207319
163	4.955169468
164	4.953939182
165	4.953294048
166	4.952242211
167	4.951537645
168	4.950342403
169	4.949689234
170	4.947739155
171	4.945556322
172	4.943819143
173	4.941225253
174	4.939890567
175	4.938255842
176	4.93561324
177	4.932081022
178	4.931255659
179	4.929047693
180	4.928167507
181	4.927477005
182	4.926110612
183	4.92511959
184	4.923559898
185	4.922608727
186	4.922193132
187	4.920242975
188	4.919743337
189	4.918363974
190	4.917334778
191	4.916118388
192	4.915390468
193	4.91478686
194	4.913624625
195	4.912477376
196	4.912042629
197	4.91165425
198	4.910324628
199	4.909804706
200	4.907242636
201	4.905590557
202	4.904889367
203	4.90391864
204	4.903035119
205	4.902686524
206	4.902314522
207	4.90073039
208	4.899988478
209	4.898358595
210	4.896025593
211	4.895113304
212	4.894613698
213	4.89304481
214	4.892698464
215	4.891526191
216	4.891241019
217	4.888628937
218	4.886762977
219	4.886309128
220	4.883917023
221	4.881991295
222	4.880439594
223	4.879874139
224	4.878540333
225	4.878141111
226	4.877006478
227	4.875166616
228	4.874232118
229	4.873596849
230	4.871370197
231	4.870420205
232	4.868772971
233	4.866607855
234	4.862611982
235	4.861412223
236	4.859154781
237	4.858074902
238	4.857088819
239	4.856563298
240	4.85556769
241	4.854220442
242	4.853341563
243	4.851745258
244	4.850810247
245	4.849814612
246	4.847640695
247	4.84564679
248	4.844925634
249	4.844035115
250	4.843201242
251	4.8422053
252	4.841458966
253	4.84099947
254	4.840450992
255	4.839635577
256	4.837617345
257	4.836945137
258	4.836256696
259	4.834040154
260	4.833409144
261	4.83277577
262	4.831465441
263	4.829526715
264	4.827879884
265	4.827350911
266	4.825520202
267	4.825088773
268	4.823315843
269	4.821598893
270	4.820259801
271	4.819769528
272	4.818305693
273	4.816686456
274	4.816287577
275	4.81569817
276	4.814129499
277	4.813708359
278	4.813171367
279	4.811831251
280	4.811378708
281	4.810997451
282	4.808517033
283	4.808137172
284	4.806839586
285	4.805838695
286	4.804417582
287	4.803041347
288	4.802469981
289	4.801137067
290	4.799994828
291	4.797975167
292	4.796866047
293	4.793853383
294	4.793299469
295	4.792475459
296	4.791275899
297	4.787975285
298	4.787460973
299	4.786973551
300	4.786505335
301	4.786034984
302	4.785018087
303	4.784612026
304	4.783148641
305	4.782698171
306	4.782277263
307	4.781851728
308	4.781457805
309	4.780000858
310	4.778627794
311	4.777147582
312	4.775815383
313	4.775422676
314	4.773164428
315	4.772231223
316	4.770100062
317	4.768539373
318	4.765322692
319	4.764925699
320	4.762776817
321	4.762432774
322	4.761077194
323	4.760192816
324	4.759815393
325	4.757356905
326	4.756982197
327	4.753849051
328	4.753489644
329	4.753136883
330	4.752862632
331	4.752350734
332	4.751430712
333	4.74868068
334	4.747193182
335	4.745091193
336	4.744217975
337	4.742928902
338	4.742133095
339	4.740032319
340	4.739330146
341	4.737149981
342	4.736798606
343	4.736201216
344	4.734984589
345	4.733996676
346	4.731996533
347	4.731644727
348	4.731331369
349	4.729284056
350	4.728208786
351	4.727898673
352	4.727610825
353	4.727215962
354	4.725268252
355	4.724811659
356	4.723025401
357	4.720089708
358	4.719805543
359	4.719629213
360	4.717537667
361	4.714782812
362	4.712039485
363	4.709214597
364	4.708850184
365	4.706502632
366	4.705539309
367	4.704491735
368	4.703361709
