iter	Passed	Remaining
0	1597	238003
1	2727	201802
2	3370	165156
3	4055	148017
4	4981	144475
5	5914	141939
6	6674	136360
7	7335	130206
8	8023	125705
9	8744	122428
10	9703	122616
11	10566	121510
12	11572	121957
13	12519	121614
14	13401	120611
15	14285	119642
16	15188	118825
17	15971	117122
18	16811	115907
19	17479	113617
20	18356	112758
21	19119	111241
22	19940	110107
23	20685	108601
24	21520	107601
25	22348	106583
26	23076	105126
27	23906	104164
28	24775	103372
29	25678	102712
30	26547	101907
31	27364	100906
32	28194	99963
33	28891	98572
34	29740	97719
35	30486	96541
36	31298	95586
37	32093	94591
38	32794	93337
39	33663	92575
40	34435	91548
41	35159	90409
42	35920	89383
43	36579	88123
44	37219	86844
45	37891	85667
46	38720	84855
47	39477	83889
48	40536	83555
49	41335	82670
50	42031	81589
51	42641	80362
52	43314	79273
53	44139	78469
54	44818	77412
55	45677	76672
56	46415	75730
57	47009	74566
58	47739	73632
59	48523	72785
60	49251	71858
61	49991	70955
62	50839	70206
63	51603	69341
64	52454	68594
65	53020	67480
66	53792	66639
67	54524	65750
68	55369	64998
69	56280	64320
70	57003	63425
71	57828	62647
72	58563	61771
73	59219	60820
74	59923	59923
75	60693	59096
76	61396	58206
77	62110	57333
78	62940	56566
79	63702	55739
80	64322	54793
81	65194	54063
82	65926	53218
83	66559	52297
84	67308	51470
85	67985	50593
86	68565	49651
87	69331	48846
88	69984	47966
89	70753	47168
90	71827	46569
91	72728	45850
92	73523	45062
93	74184	44194
94	75086	43471
95	75846	42663
96	76651	41881
97	77500	41122
98	78148	40258
99	78942	39471
100	79593	38614
101	80162	37723
102	80838	36887
103	81598	36091
104	82278	35262
105	83045	34471
106	83806	33679
107	84603	32901
108	85233	32060
109	85866	31224
110	86705	30464
111	87257	29605
